route,lang,pair,indexable,canonical,hreflang,sitemap,titleLen,descLen,h1,words,ldTypes,inbound,outbound,brokenLinks,images,imagesWithAlt,lastUpdate
https://www.no-ai-act.eu/,it,https://www.no-ai-act.eu/en/,yes,self,it/en/x,sitemap-it,58,148,1,1497,WebSite+SoftwareApplication+LearningResource+FAQPage+Organization,36,62,0,6,6,2026-09-19
https://www.no-ai-act.eu/en/,en,https://www.no-ai-act.eu/,yes,self,it/en/x,sitemap-en,61,147,1,1540,WebSite+SoftwareApplication+LearningResource+FAQPage+Organization,36,66,0,6,6,2026-09-19
https://www.no-ai-act.eu/come-funziona/,it,https://www.no-ai-act.eu/en/how-it-works/,yes,self,it/en/x,sitemap-it,56,163,1,889,BreadcrumbList+Organization,20,42,0,0,0,2026-09-19
https://www.no-ai-act.eu/en/how-it-works/,en,https://www.no-ai-act.eu/come-funziona/,yes,self,it/en/x,sitemap-en,48,139,1,924,BreadcrumbList+Organization,24,45,0,0,0,2026-09-19
https://www.no-ai-act.eu/per-docenti/,it,https://www.no-ai-act.eu/en/for-educators/,yes,self,it/en/x,sitemap-it,56,155,1,1388,BreadcrumbList+LearningResource+FAQPage+Organization,32,40,0,0,0,2026-09-19
https://www.no-ai-act.eu/en/for-educators/,en,https://www.no-ai-act.eu/per-docenti/,yes,self,it/en/x,sitemap-en,55,144,1,1383,BreadcrumbList+LearningResource+FAQPage+Organization,36,43,0,0,0,2026-09-19
https://www.no-ai-act.eu/ai-act-serious-game/,it,https://www.no-ai-act.eu/en/ai-act-serious-game/,yes,self,it/en/x,sitemap-it,65,163,1,957,BreadcrumbList+LearningResource+Organization,6,39,0,0,0,2026-09-19
https://www.no-ai-act.eu/en/ai-act-serious-game/,en,https://www.no-ai-act.eu/ai-act-serious-game/,yes,self,it/en/x,sitemap-en,52,150,1,969,BreadcrumbList+LearningResource+Organization,6,42,0,0,0,2026-09-19
https://www.no-ai-act.eu/privacy-by-design/,it,https://www.no-ai-act.eu/en/privacy-by-design/,yes,self,it/en/x,sitemap-it,53,154,1,785,BreadcrumbList+FAQPage+Organization,32,36,0,0,0,2026-09-19
https://www.no-ai-act.eu/en/privacy-by-design/,en,https://www.no-ai-act.eu/privacy-by-design/,yes,self,it/en/x,sitemap-en,47,159,1,779,BreadcrumbList+FAQPage+Organization,36,39,0,0,0,2026-09-19
https://www.no-ai-act.eu/educazione/,it,https://www.no-ai-act.eu/en/education/,yes,self,it/en/x,sitemap-it,57,157,1,986,BreadcrumbList+Organization,32,80,0,0,0,2026-09-19
https://www.no-ai-act.eu/en/education/,en,https://www.no-ai-act.eu/educazione/,yes,self,it/en/x,sitemap-en,45,144,1,985,BreadcrumbList+Organization,36,86,0,0,0,2026-09-19
https://www.no-ai-act.eu/ai-act-per-docenti/,it,https://www.no-ai-act.eu/en/ai-act-for-teachers/,yes,self,it/en/x,sitemap-it,53,155,1,1433,BreadcrumbList+LearningResource+Organization,32,45,0,0,0,2026-09-19
https://www.no-ai-act.eu/en/ai-act-for-teachers/,en,https://www.no-ai-act.eu/ai-act-per-docenti/,yes,self,it/en/x,sitemap-en,56,151,1,1431,BreadcrumbList+LearningResource+Organization,36,50,0,0,0,2026-09-19
https://www.no-ai-act.eu/alfabetizzazione-ai/,it,https://www.no-ai-act.eu/en/ai-literacy/,yes,self,it/en/x,sitemap-it,49,159,1,790,BreadcrumbList+LearningResource+Organization,32,36,0,0,0,2026-09-19
https://www.no-ai-act.eu/en/ai-literacy/,en,https://www.no-ai-act.eu/alfabetizzazione-ai/,yes,self,it/en/x,sitemap-en,55,159,1,633,BreadcrumbList+LearningResource+Organization,36,40,0,0,0,2026-09-19
https://www.no-ai-act.eu/guida-ai-act/,it,https://www.no-ai-act.eu/en/eu-ai-act-guide/,yes,self,it/en/x,sitemap-it,65,152,1,944,BreadcrumbList+LearningResource+Organization,32,43,0,0,0,2026-09-19
https://www.no-ai-act.eu/en/eu-ai-act-guide/,en,https://www.no-ai-act.eu/guida-ai-act/,yes,self,it/en/x,sitemap-en,54,146,1,907,BreadcrumbList+LearningResource+Organization,36,46,0,0,0,2026-09-19
https://www.no-ai-act.eu/categorie-rischio-ai-act/,it,https://www.no-ai-act.eu/en/ai-act-risk-categories/,yes,self,it/en/x,sitemap-it,63,148,1,1027,BreadcrumbList+Organization,32,43,0,0,0,2026-09-19
