target,category,country,language,relevance,proposed asset,contact route,status,date contacted,response,backlink/live URL,notes
OER Commons,OER repository,US/global,en,High — indexes free educational games with licence metadata,canonical URL + press kit,platform submission form (account required),not contacted,,,,owner manual submission; see DISTRIBUTION_SUBMISSION_PACK.md
MERLOT,OER repository,US/global,en,High — peer-curated higher-ed materials directory,canonical URL + research page,platform submission form (account required),not contacted,,,,owner manual submission
Scientix,EU STEM education network,EU,en,Medium-high — EU teachers network; AI literacy fits digital-competence strand,teacher quick-start + press kit,scientix.eu resource/partner form,not contacted,,,,owner manual submission
itch.io,serious-game platform,global,en/it,High — discoverability among educational-game players,external-link project page,platform publishing flow (account required),not contacted,,,,owner manual submission
Zenodo,open-science repository,EU/global,en,High — DOI + academic citability,GitHub release archive via webhook,GitHub–Zenodo integration (owner login),not contacted,,,,archive at v2.0.0; no .zenodo.json by design
Wikiversità/Wikiversity (AI literacy pages),open education wiki,global,it/en,Medium — resource listing where genuinely relevant to an existing page,glossary + lesson plan,public wiki editing (follow local sourcing rules),not contacted,,,,only where a page legitimately lists external OER; no spam edits
EU Code Week resource map,EU education initiative,EU,en/it,Medium — teacher-facing activity listing,classroom lab guide,codeweek.eu activity submission,not contacted,,,,activity must be run by a real teacher/organizer
Games for Change directory,serious-game community,US/global,en,Medium — curated social-impact games,press kit,gamesforchange.org submission form,not contacted,,,,curation is selective; honest framing required
Indie Games Devel Italia,indie game press,IT,it,Very high — specialises in indie news reviews and interviews,play link + Italian press kit,https://indiegamesdevel.com/it/chi-siamo/,not contacted,,,,hold until playtest gate; pitch bureaucracy as investigative game design
VideogiochiItaliani.it,Italian game press,IT,it,Very high — dedicated to games made in Italy,play link + Italian press kit,https://videogiochiitaliani.it/contatti/,not contacted,,,,hold until playtest gate; solo Italian open-source production angle
Crunchy Reviews,indie game outlet,IT,it,High — explicitly welcomes independent games for review,20-30 minute press path + press kit,https://crunchyreviews.it/contatti/,not contacted,,,,hold until playtest gate; free browser build; no review key needed
Nerdando,independent registered press,IT,it,High — videogame section and cultural coverage,play link + game-design angle,https://nerdando.com/contattaci/,not contacted,,,,hold until playtest gate; digital citizenship and regulation angle
IlVideogioco.com,registered game press,IT,it,High — dedicated news and press-release route,play link + concise release note,https://www.ilvideogioco.com/contatti/,not contacted,,,,hold until playtest gate; frame as a game first and educational work second
Stay Nerd,culture and game press,IT,it,Medium-high — long-form cross-cultural editorial fit,play link + cultural pitch,https://www.staynerd.com/utawarerumono-mask-of-deception-la-capitale-imperiale-aspetta-solo-esplorata-nel-trailer/contatti/,not contacted,,,,hold until playtest gate; pitch algorithmic systems and bureaucracy as game mechanics
Excaliber,Italian indie industry network,IT,it/en,Medium-high — indie industry events archive and professional network,press kit + project overview,https://excaliber.it/,not contacted,,,,hold until playtest gate; network introduction; do not frame as a review request
